Sr_No,Review_Title,Review_Text,Review_Rating,Review_Date,Upvote,Downvote,Sum_of_Up_Down,Len_before,Num_Sentence,No_QMark,No_ExMark,No_Upper,No_proper,Emoji_Count,Len_after,POS,Perc_Noun,Perc_Verb,Perc_Adverb,Perc_Adj,h,ReviewTitle_Sentiment
148,Awesome piece of art to be used in Earth,"master piece invention Apple . compare previous version phone 6 , way ahead term memory , speed multitasking . geometric thumb scan fast beat end Androids good apple world . display Retina good 326 pp compare . battery juice 2 3 Camera clarity good . good shot like 21 digital . overall premium phone nice own feel edge .",5,2017-01-01 00:00:00,182,179,361,115,7,0,,0,,0,59,NOUN NOUN NOUN PROPN PUNCT VERB ADJ NOUN NOUN NUM PUNCT ADV ADV NOUN NOUN PUNCT NOUN NOUN PUNCT ADJ NOUN NOUN ADJ NOUN NOUN NOUN ADJ NOUN NOUN PUNCT VERB PROPN ADJ NUM VERB VERB PUNCT NOUN PROPN NUM NUM PROPN NOUN ADJ PUNCT ADJ NOUN SCONJ NUM PROPN PUNCT ADJ ADJ NOUN ADJ ADJ ADJ NOUN PUNCT,35.59,6.78,3.39,20.34,0.5,pos
150,Feedback on purchases of iPhone7 and Flipkart,iPhone7 awesome . phone 2 month impressive performance wise quality . Flipkart delivery good packing great . attitude delivery gun good . Flipkart reason worry .,5,2017-04-01 00:00:00,104,96,200,46,5,0,,0,,0,26,PROPN ADJ PUNCT NOUN NUM NOUN ADJ NOUN ADJ NOUN PUNCT PROPN NOUN ADJ NOUN ADJ PUNCT NOUN NOUN NOUN NOUN PUNCT PROPN NOUN NOUN PUNCT,46.15,0.0,0.0,19.23,0.52,neu
151,Terrific purchase,nice phone happy thank Flipkart,5,5 months ago,32,22,54,8,1,0,,0,,0,5,ADJ NOUN ADJ VERB PROPN,20.0,20.0,0.0,40.0,0.59,neu
152,Classy product,K ok type battery poor,5,2019-01-01 00:00:00,15,8,23,8,1,0,,0,,0,5,PROPN ADJ NOUN NOUN ADJ,40.0,0.0,0.0,40.0,0.65,neu
153,Must buy!,"write review week . inspire apple product , build quality , display , software finally brand Apple . recently purchase shone 7 32 . touch product feel like waste life . 
 
  Gros 
  perfect size hold . 
  display 
  apple co system . 
  Processor 
  optimized software hardware 
  dear camera . 
 
  Sons 
  camera 
  battery",5,9 months ago,11,6,17,74,8,0,,0,,0,51,VERB PROPN NOUN PUNCT VERB PROPN NOUN PUNCT VERB NOUN PUNCT NOUN PUNCT NOUN ADV NOUN PROPN PUNCT ADV VERB NOUN NUM NUM PUNCT VERB NOUN VERB SCONJ NOUN NOUN PUNCT SPACE PROPN SPACE ADJ NOUN NOUN PUNCT SPACE NOUN SPACE NOUN NOUN NOUN PUNCT SPACE NOUN SPACE ADJ NOUN NOUN SPACE ADJ NOUN PUNCT SPACE NOUN SPACE NOUN SPACE NOUN,37.7,9.84,3.28,4.92,0.65,neu
154,Super!,"perfect device ... ... slim compact powerful ... 
  overall satisfied ... expect little battery ... rest good ...",5,2019-02-01 00:00:00,12,5,17,20,1,0,,0,,0,18,ADJ NOUN PUNCT PUNCT ADJ ADJ ADJ PUNCT SPACE ADV ADJ PUNCT VERB ADJ NOUN PUNCT NOUN ADJ PUNCT,15.79,5.26,5.26,36.84,0.71,pos
155,Too Much Heated,"Phone Camera Door 
  Round unto mark 
  Fluid warranty cover i.e. phone damage water splash piece garage 
   important 
  Rio incompatibility big issue 
  eligible Rio apple year offer u buy Online i.e Flipkart , Amazon etc .",1,2017-01-01 00:00:00,155,159,314,58,4,0,,0,,0,35,PROPN PROPN PROPN SPACE ADJ ADJ NOUN SPACE ADJ NOUN NOUN X NOUN NOUN NOUN NOUN NOUN NOUN SPACE ADJ SPACE ADJ NOUN ADJ NOUN SPACE ADJ PROPN NOUN NOUN NOUN PRON VERB PROPN PROPN PROPN PUNCT PROPN X PUNCT,35.0,2.5,0.0,17.5,0.49,neu
184,Not good as expected,"good think , camera good need lot improvement , phone 3 year , expect phone 7 atom bomb dial bomb . bethink buy . big phone fan accept apple need develop , possible buy dual camera phone , patience .",2,2018-05-01 00:00:00,9,3,12,75,3,0,,0,,0,40,ADJ VERB PUNCT NOUN ADJ NOUN NOUN NOUN PUNCT NOUN NUM NOUN PUNCT VERB NOUN NUM NOUN NOUN NOUN NOUN PUNCT VERB VERB PUNCT ADJ NOUN NOUN VERB NOUN VERB VERB PUNCT ADJ VERB ADJ NOUN NOUN PUNCT NOUN PUNCT,42.5,20.0,0.0,12.5,0.75,neu
185,Bad package services,see bad packing product . packing bad need improve pack clot . customer receive damage product,4,2017-05-01 00:00:00,8,3,11,25,3,0,,0,,0,16,VERB ADJ NOUN NOUN PUNCT VERB ADJ VERB VERB NOUN NOUN PUNCT NOUN VERB NOUN NOUN,43.75,31.25,0.0,12.5,0.73,neg
186,The best apple product till date.,amazing product use apple till date . simply awesome,5,2017-01-01 00:00:00,29,22,51,13,2,0,,0,,0,9,ADJ NOUN VERB NOUN SCONJ NOUN PUNCT ADV ADJ,33.33,11.11,11.11,22.22,0.57,pos
187,Mind-blowing purchase,good like price good,5,3 months ago,9,4,13,8,1,0,,0,,0,4,ADJ SCONJ NOUN NOUN,50.0,0.0,0.0,25.0,0.69,neu
188,Wonderful,"superb ... get 38,500rs .. check apple store 100 % original warranty ..",5,2017-06-01 00:00:00,9,4,13,15,1,0,,0,,0,13,PROPN PUNCT AUX NUM PUNCT VERB NOUN NOUN NUM NOUN ADJ NOUN PUNCT,30.77,7.69,0.0,7.69,0.69,pos
189,Did not meet expectations,lift dump day . say expect shine X.,1,2018-05-01 00:00:00,40,34,74,19,2,0,,0,,0,8,PROPN PROPN PROPN PUNCT VERB VERB PROPN PROPN,0.0,25.0,0.0,0.0,0.54,neu
191,Fabulous!,st phone . madly love . handy . premium quality . super like . battery bad .,5,4 months ago,12,6,18,27,6,0,,0,,0,17,PROPN NOUN PUNCT ADV VERB PUNCT ADJ PUNCT ADJ NOUN PUNCT ADV INTJ PUNCT NOUN ADJ PUNCT,17.65,5.88,11.76,17.65,0.67,pos
192,Iphone 7 - Class of its own,"simple , not phone , simply not phone . water critic go gage everybody know brand catch apple class , technology product . start phone 3 rest history .",5,2016-11-01 00:00:00,11,6,17,48,3,0,,0,,0,29,ADJ PUNCT PART NOUN PUNCT ADV PART NOUN PUNCT NOUN NOUN NOUN NOUN PRON VERB NOUN NOUN NOUN NOUN PUNCT NOUN NOUN PUNCT VERB NOUN NUM NOUN NOUN PUNCT,51.72,6.9,3.45,3.45,0.65,neu
193,Hated it!,"product faulty hear voice , delivery fast , Flipkart return state contact brand authorize service centre directly .when Flipkart authorized intent seller apple doubt exchange device . look service centre hope new hand garage Flipkart sell",1,2017-05-01 00:00:00,113,126,239,76,2,0,,0,,0,36,NOUN PROPN VERB NOUN PUNCT NOUN ADV PUNCT PROPN VERB NOUN NOUN NOUN PROPN PROPN NOUN ADV PUNCT PROPN VERB ADJ NOUN NOUN VERB NOUN NOUN PUNCT VERB PROPN PROPN PROPN ADJ NOUN NOUN PROPN VERB,36.11,16.67,5.56,5.56,0.47,neg
200,Best in the market!,"Flipkart let far delivery date concern . bud flipkart deliver beautiful product promise time 
  ask discount shone 7 256 .... awesome deal   thank flipkart",5,2017-04-01 00:00:00,63,67,130,44,5,0,,0,,0,24,PROPN VERB ADV NOUN NOUN NOUN PUNCT VERB NOUN VERB ADJ NOUN NOUN NOUN SPACE VERB PROPN PROPN NUM NUM PUNCT PROPN NOUN SPACE VERB PROPN,30.77,19.23,3.85,3.85,0.48,pos
201,Mind-blowing purchase,ink flipcart amazing product,5,4 months ago,8,3,11,6,1,0,,0,,0,4,PROPN ADV ADJ NOUN,25.0,0.0,25.0,25.0,0.73,neu
202,Received a Rs.50k detergent bar in the iPhone box,"get product 5 day order Empire Group receive get detergent bar instead shone inside shone box . highly disgusting disappointing huge company deliver rubbish cost shone . 48 hour positive response issue . pay credit card EMI money stick Flipkart update follow process . 

 unexpected highly professional way deal high priority issue large money involve .",1,2017-05-01 00:00:00,44,47,91,110,5,0,,0,,0,56,AUX NOUN NUM NOUN NOUN PROPN PROPN VERB VERB NOUN NOUN ADV VERB ADV PROPN NOUN PUNCT ADV ADJ ADJ ADJ NOUN VERB ADJ NOUN NOUN PUNCT NUM NOUN ADJ NOUN NOUN PUNCT VERB NOUN NOUN PROPN NOUN VERB PROPN NOUN NOUN NOUN PUNCT SPACE VERB ADV ADJ NOUN VERB ADJ NOUN NOUN ADJ NOUN VERB PUNCT,38.6,15.79,7.02,14.04,0.48,neu
204,Must buy from Flipkart..committed,order shine 7 rise gold Saturday   exchange red new shone 7 deliver Sunday morning ...... hatt FLIPKART .... 24 hour new phone hand 10%cashback   cost semi ... Flipkart upgrade andro ...... love u Flipkart,5,2017-10-01 00:00:00,10,6,16,44,1,0,,0,,0,34,PROPN VERB NUM NOUN NOUN PROPN SPACE NOUN ADJ ADJ NOUN NUM VERB PROPN NOUN PUNCT NOUN PROPN PUNCT NUM NOUN ADJ NOUN NOUN NUM SPACE NOUN NOUN PUNCT PROPN NOUN NOUN PUNCT NOUN PRON PROPN,38.89,5.56,0.0,8.33,0.62,neu
205,Terrible product,bad seller receive defective product .. face os problem,1,2017-03-01 00:00:00,10,6,16,10,1,0,,0,,0,9,ADJ NOUN VERB ADJ NOUN PUNCT NOUN PROPN NOUN,44.44,11.11,0.0,22.22,0.62,neu
217,Good service cnt complain good delivery time n all,"expect , cable inside box work send flipkart complain receive reply check device use old phone cable charge",1,2017-03-01 00:00:00,12,9,21,40,1,0,,0,,0,18,VERB PUNCT NOUN ADP NOUN NOUN VERB ADJ NOUN ADJ NOUN NOUN NOUN VERB ADJ NOUN NOUN NOUN,55.56,16.67,0.0,16.67,0.57,pos
218,iPhone 7 .... just awesome,"awesome phone mean . 
 1 . Lookwise elegant 4.7 inch size easy hold hand operation 
 2 . loud facility enable user restore datum hazard irrecoverable set change new shone 
 3 . phone late style builtwise 
 4 . round quality phone good . use earphone well feeling 
 5 . battery good compare iPhones 
 6 . Camera good lot . difference andro phone 21 camera shone 7 . shone 7 good camera quality 
 7 . camera well good . 

 worthwhile phone budget . thank Flipkart give huge discount cost Mi",5,2017-01-01 00:00:00,21,20,41,144,12,0,,0,,0,88,ADJ NOUN NOUN PUNCT SPACE NUM PUNCT PROPN ADJ NUM NOUN NOUN ADJ NOUN NOUN NOUN SPACE NUM PUNCT ADJ NOUN NOUN NOUN NOUN PROPN NOUN ADJ NOUN NOUN ADJ NOUN SPACE NUM PUNCT NOUN ADJ NOUN PROPN SPACE NUM PUNCT ADJ NOUN NOUN NOUN PUNCT VERB NOUN ADV VERB SPACE NUM PUNCT NOUN ADJ NOUN PROPN SPACE NUM PUNCT NOUN ADJ NOUN PUNCT NOUN NOUN NOUN NUM NOUN NOUN NUM PUNCT NOUN NUM ADJ NOUN NOUN SPACE NUM PUNCT NOUN INTJ ADJ PUNCT SPACE ADJ NOUN NOUN PUNCT VERB PROPN VERB ADJ NOUN NOUN PROPN,39.58,4.17,1.04,14.58,0.51,pos
219,Iphone 7 Can handle my speed,"phone 7 handle speed 
 
  use phone faster faster check nearly 5 - 6 phone till date good band , apple phone 7 phone satisfy phone usage speed . 
 
  save lot time .",5,2017-05-01 00:00:00,64,81,145,39,2,0,,0,,0,32,NOUN NUM NOUN NOUN SPACE VERB NOUN ADV ADJ NOUN ADV NUM SYM NUM NOUN SCONJ NOUN ADJ NOUN PUNCT NOUN NOUN NUM NOUN NOUN NOUN NOUN NOUN PUNCT SPACE VERB NOUN NOUN PUNCT,50.0,5.88,5.88,5.88,0.44,neu
220,i (for ideal) phone,"presumptuous acknowledge pre - order device , include , simply allude late shone . , want entirely convince shone 7 watch livestream Apple Denote . , timely launch India , exorbitant pricking hetty cashback finally swing favour . 

 Apple headway design 3 generation , solace fact get black variant set apart early generation . have say , accumulation incremental update make significant step - IP67 protection , clean antenna line , camera well low light performance ois , sterno speaker , bright screen wide colour gamut , 40 % fast quand core cpu , core GPU big 1960 battery . , focus lose , , headphone jack physical button . come Android phone capacity button , doesn matter , especially multi - function button lot physical . , admit press feel odd initially mistake vibration flex case phone encase . loss easy . courageous bit practical . use Bony SBH54 bluetooth head audit quality way justify time . antagonizing invest significant purchase high - end 3.mmm jack headphone . , headphone adapt come white go black variant . guess compromise live hope Apple lightning port lot study . accept decision , Apple state , price pay large battery , water resistance sterno speaker ruin dimension , accept additional mmm thickness day . device , buy large repertoire accessory simply not exist device . 

 far concern , Apple fortnight pick good Android mean accelerated rate progression compare approach deference . , apple wall garden pet door overture developer utilize aspect previously , previously lock away . continue platform choice innovative pp developer simply market income bait ad click . Google Microsoft continue offer incredible experience inexplicable well offer platform . constable offer good security , privacy , optimization consistency phone , come apple control aspect device . , exclusively appeal time Android experience . sum , wrong buy shone , mortgage finance . 

 P.S. receive shone 8 p.m. , hour launch love custom packing . enjoy purchase Flipkart long time .",5,2016-10-01 00:00:00,89,119,208,633,27,0,,0,,0,330,ADJ NOUN ADJ ADJ ADJ NOUN PUNCT VERB PUNCT ADV VERB ADV NOUN PUNCT PUNCT VERB ADV NOUN NOUN NUM NOUN NOUN PROPN PROPN PROPN PUNCT ADV VERB PROPN PUNCT ADJ NOUN VERB NOUN ADV VERB NOUN PUNCT SPACE PROPN NOUN NOUN NUM NOUN PUNCT NOUN NOUN VERB ADJ NOUN VERB ADP ADJ NOUN PUNCT AUX VERB PUNCT NOUN ADJ NOUN VERB ADJ NOUN PUNCT PROPN NOUN PUNCT ADJ PROPN PROPN PUNCT NOUN INTJ ADJ ADJ NOUN PROPN PUNCT PROPN NOUN PUNCT ADJ NOUN ADJ NOUN NOUN PUNCT NUM NOUN ADJ PROPN NOUN NOUN PUNCT NOUN PROPN ADJ NUM NOUN PUNCT PUNCT NOUN NOUN PUNCT PUNCT NOUN PROPN PROPN PROPN PUNCT VERB PROPN NOUN NOUN NOUN PUNCT PROPN PROPN PUNCT ADV ADJ ADJ ADJ NOUN NOUN ADJ PROPN PUNCT VERB NOUN VERB ADJ ADV NOUN NOUN ADJ NOUN NOUN NOUN PUNCT NOUN ADV PUNCT ADJ NOUN ADJ PUNCT VERB PROPN PUNCT ADJ NOUN NOUN NOUN NOUN VERB NOUN PUNCT VERB VERB ADJ NOUN ADJ PUNCT NOUN NUM PROPN PROPN PROPN PUNCT NOUN NOUN VERB ADJ VERB ADJ NOUN PUNCT VERB NOUN VERB NOUN PROPN NOUN NOUN NOUN NOUN PUNCT VERB NOUN PUNCT PROPN NOUN PUNCT NOUN VERB ADJ NOUN PUNCT NOUN NOUN NOUN NOUN PROPN NOUN PUNCT VERB ADJ NOUN NOUN NOUN PUNCT NOUN PUNCT VERB ADJ NOUN NOUN ADV PART VERB NOUN PUNCT SPACE ADJ NOUN PUNCT PROPN NOUN VERB ADJ PROPN NOUN VERB NOUN NOUN VERB NOUN NOUN PUNCT PUNCT PROPN PROPN PROPN PROPN PROPN NOUN NOUN VERB NOUN ADV PUNCT ADV VERB ADP PUNCT VERB NOUN NOUN NOUN PROPN NOUN ADV VERB NOUN NOUN NOUN NOUN PUNCT PROPN PROPN VERB VERB ADJ NOUN ADJ ADJ NOUN NOUN PUNCT ADJ VERB ADJ NOUN PUNCT NOUN PUNCT NOUN NOUN NOUN PUNCT VERB NOUN NOUN VERB NOUN PUNCT PUNCT ADV VERB NOUN PROPN NOUN PUNCT NOUN PUNCT ADJ NOUN NOUN PUNCT NOUN NOUN PUNCT SPACE PROPN VERB VERB NUM NOUN PUNCT NOUN NOUN NOUN NOUN NOUN PUNCT VERB VERB PROPN ADJ NOUN PUNCT,36.94,12.91,3.9,12.31,0.43,pos
221,RETURN HANDSET,"hello Omit 
  buy today phone 7 open packet switch hand hand charge phone 1 thing . return hand return defective product .",1,2017-02-01 00:00:00,44,52,96,44,2,0,,0,,0,22,INTJ PROPN SPACE VERB NOUN NOUN NUM ADJ NOUN NOUN NOUN NOUN NOUN NOUN NUM NOUN PUNCT VERB NOUN NOUN ADJ NOUN PUNCT,52.17,8.7,0.0,8.7,0.46,neu
222,Superb!!!,"thank flipkart fast delivery . need explain product , phone self explanatory . 
  have issue claim product defeat , assured seller watch undoing video idea seal box undo new phone look seal i.e. original seal hamper match imei phone bill box , good",5,2017-05-01 00:00:00,10,7,17,89,4,0,,0,,0,43,VERB PROPN ADJ NOUN PUNCT VERB VERB NOUN PUNCT NOUN NOUN ADJ PUNCT SPACE AUX NOUN NOUN NOUN NOUN PUNCT ADJ NOUN NOUN VERB NOUN NOUN NOUN NOUN VERB ADJ NOUN VERB NOUN X ADJ NOUN NOUN NOUN PROPN PROPN PROPN NOUN PUNCT ADJ,45.45,13.64,0.0,13.64,0.59,pos
223,Waste of money!,piece . stop work 5 hour .,1,2016-10-01 00:00:00,61,78,139,8,2,0,,0,,0,7,NOUN PUNCT VERB NOUN NUM NOUN PUNCT,42.86,14.29,0.0,0.0,0.44,neu
228,Don't need a Mention,"Awesome Shone . will not need review . work , simply work good . 
  West Hardware Software combination .",5,2017-01-01 00:00:00,9,6,15,19,4,0,,0,,0,19,PROPN PROPN PUNCT VERB PART VERB NOUN PUNCT NOUN PUNCT ADV VERB ADJ PUNCT SPACE PROPN PROPN PROPN NOUN PUNCT,15.0,15.0,5.0,5.0,0.6,neu
229,A Cute Little Stealthy Black Beast,"firstly Flipkart service awesome . IP7 launch th Act 7 get 8pm day . pat excellent service . packaging secure . premium black box phone box inside . nice touch user experience . 

 phone . ip6 , upgrade 32 gb model . 
 IP6 , upbraid IP7 good decision . brother IP6 phone , IP7 nail . 

 IP7 - Good . 
 Camera - undoubtedly good camera Samsung 
 display - quand , , obvious . pleasant display . warm touch display feel pretty nice look . quand screen bad . 
 speaker - Sterno way loud 
 Finger print - , press lift finger fast phone unlock . test IP6 , IP6S IP7 guess winner . 
 lift feature welcoming useful . 
 water resistant . 70 k phone mug water heavy heart apple include water damage warranty happen . 
 finally black color stealth awesome . 
 performance - beat phone huge margin . cut little stealth black beast . 

 IP7 - Lads . 
 Battery - bad , bit big . west thing phone , battery drain . 
 Charging - need phone today 
 Headphone - usb pretty awesome , downside low battery charging , headphone music call . wait . buy bluetooth headphone . 

 overall good package like loyal Android user past 6 year , twitch Phone IOS awesome experience . love phone . 

 happy Purchase Flipkart Service .",5,2016-10-01 00:00:00,9,6,15,418,32,0,,0,,0,222,ADV PROPN NOUN ADJ PUNCT ADV VERB PUNCT PROPN NUM VERB NUM PROPN NOUN PUNCT PROPN ADJ PROPN PUNCT NOUN ADJ PUNCT PROPN PROPN PROPN NOUN NOUN ADV PUNCT ADJ NOUN NOUN NOUN PUNCT SPACE NOUN PUNCT PROPN PUNCT PROPN NUM PROPN NOUN PUNCT SPACE PROPN PUNCT ADJ PROPN ADJ NOUN PUNCT NOUN PROPN NOUN PUNCT PROPN NOUN PUNCT SPACE PROPN PUNCT ADJ PUNCT SPACE PROPN PUNCT ADV ADJ NOUN PROPN SPACE NOUN PUNCT PROPN PUNCT PUNCT ADJ PUNCT ADJ NOUN PUNCT ADJ NOUN NOUN VERB ADV ADJ NOUN PUNCT PROPN NOUN ADJ PUNCT SPACE NOUN PUNCT ADJ NOUN ADJ SPACE NOUN NOUN PUNCT PUNCT NOUN NOUN NOUN ADJ NOUN NOUN PUNCT VERB PROPN PUNCT PUNCT ADV VERB NOUN PUNCT SPACE NOUN NOUN VERB ADJ PUNCT SPACE NOUN ADJ PUNCT NUM NOUN NOUN PROPN NOUN ADJ NOUN NOUN VERB NOUN NOUN NOUN VERB PUNCT SPACE ADV ADJ NOUN NOUN ADJ PUNCT SPACE NOUN PUNCT VERB NOUN ADJ NOUN PUNCT VERB ADJ ADJ ADJ NOUN PUNCT SPACE PROPN PUNCT PROPN PUNCT SPACE NOUN PUNCT ADJ PUNCT NOUN ADJ PUNCT PROPN PROPN NOUN PUNCT NOUN NOUN PUNCT SPACE NOUN PUNCT NOUN NOUN NOUN SPACE NOUN PUNCT NOUN ADV ADJ PUNCT ADJ ADJ NOUN NOUN PUNCT NOUN NOUN NOUN PUNCT VERB PUNCT VERB PROPN PROPN PUNCT SPACE ADJ ADJ NOUN SCONJ ADJ PROPN NOUN ADV NUM NOUN PUNCT VERB NOUN PROPN ADJ NOUN PUNCT NOUN NOUN PUNCT SPACE ADJ PROPN PROPN PROPN PUNCT,29.58,5.42,3.75,14.58,0.6,neu
231,Amazing ordering experience from Flipkart !,"phone expect piece beauty . performance sappy resolution great . come shone , thing excitement look 90 % . , change inside phone . well processor , camera , water resistance technology - lot change inside . 

 come delivery experience . order phone hour pre order start flipkart . keep informed progress order . 
 get personal flipkart executive exact date time slot delivery . delivery delay 15 minute ignore . 
 overall nice experience think nice decision buy flipkart total mad rush Apple Tore today . hand , get phone day comfort home",5,2016-10-01 00:00:00,44,54,98,174,12,0,,0,,0,92,NOUN VERB NOUN NOUN PUNCT NOUN PROPN NOUN ADJ PUNCT VERB NOUN PUNCT NOUN NOUN VERB NUM NOUN PUNCT PUNCT VERB ADP NOUN PUNCT INTJ NOUN PUNCT NOUN PUNCT NOUN NOUN NOUN PUNCT NOUN NOUN ADV PUNCT SPACE VERB NOUN NOUN PUNCT NOUN NOUN NOUN NOUN NOUN VERB NOUN PUNCT VERB ADJ NOUN NOUN PUNCT SPACE VERB ADJ PROPN NOUN ADJ NOUN NOUN NOUN NOUN PUNCT NOUN NOUN NUM NOUN NOUN PUNCT SPACE ADJ ADJ NOUN VERB ADJ NOUN VERB PROPN ADJ ADJ NOUN PROPN PROPN NOUN PUNCT NOUN PUNCT AUX NOUN PROPN NOUN ADV,45.26,10.53,2.11,9.47,0.45,pos
233,Great product added with great Flipkart exp,great job Flipkart . good experience . packing awesome . Flipkart make feel special,5,2016-10-01 00:00:00,7,3,10,15,4,0,,0,,0,14,ADJ NOUN PROPN PUNCT ADJ NOUN PUNCT VERB ADJ PUNCT PROPN VERB VERB ADJ,14.29,21.43,0.0,28.57,0.7,pos
234,Iphone 7,Touch Problem   eat issue ...,1,2017-05-01 00:00:00,7,4,11,5,1,0,,0,,0,5,PROPN PROPN SPACE VERB NOUN PUNCT,16.67,16.67,0.0,0.0,0.64,neu
235,Highly recommended,"issue absolutely , glitter virgin pack deliver time",5,2017-03-01 00:00:00,8,4,12,10,1,0,,0,,0,8,NOUN ADV PUNCT VERB NOUN NOUN VERB NOUN,50.0,25.0,12.5,0.0,0.67,neu
296,Simply awesome,like thank Flipkart super fast delivery . get phone deliver today 7 pm time . long phone get surprise gift Flipkart . thank make special event memorable,5,2016-10-01 00:00:00,23,26,49,48,4,0,,0,,0,27,SCONJ VERB PROPN ADV ADJ NOUN PUNCT AUX NOUN VERB NOUN NUM NOUN NOUN PUNCT ADJ NOUN VERB NOUN NOUN PROPN PUNCT VERB VERB ADJ NOUN ADJ,33.33,18.52,3.7,14.81,0.47,pos
297,"IF U DON'T HAVE AN IPHONE, WELL U DON'T AN IPHONE.","await phone year . shone user 2 year , love shone sturdy build fabulous design . Ve type phone operating system IOS awesome , phone law hang start good thing apple product . 

 phone deliver 30112016 , time complaint . 

 product deliver safely damage issue . 

 shone son . yes lot improvement especially battery life . normal usage use 2 day charge . 

 display great , touch fabulous , camera good . world crazy phone . shone . 

 feel expensive ask price point flipkart offer 0 % interest EMI want . 

 happy shone 7 .",5,2016-12-01 00:00:00,25,29,54,180,13,0,,0,,0,95,PROPN NOUN NOUN PUNCT NOUN NOUN NUM NOUN PUNCT NOUN NOUN ADJ VERB ADJ NOUN PUNCT PROPN NOUN NOUN NOUN NOUN PROPN ADJ PUNCT NOUN NOUN VERB VERB ADJ NOUN NOUN NOUN PUNCT SPACE NOUN VERB NUM PUNCT NOUN NOUN PUNCT SPACE NOUN VERB ADV NOUN NOUN PUNCT SPACE PROPN NOUN PUNCT INTJ NOUN NOUN ADV NOUN NOUN PUNCT ADJ NOUN NOUN NUM NOUN NOUN PUNCT SPACE NOUN ADV PUNCT VERB ADJ PUNCT NOUN NOUN PUNCT NOUN ADJ NOUN PUNCT NOUN PUNCT SPACE VERB ADJ NOUN NOUN NOUN NOUN VERB NUM NOUN NOUN PROPN NOUN PUNCT SPACE PROPN NOUN NUM PUNCT,45.54,7.92,2.97,7.92,0.46,neu
298,Awesome,brilliant product super internal speck,5,2016-10-01 00:00:00,13,12,25,6,2,0,,0,,0,5,ADJ NOUN ADJ ADJ NOUN,40.0,0.0,0.0,60.0,0.52,pos
299,Worthy upgrade from iPhone 6,"firstly flipkart fair job deliver phone despite huge number order . 
  overall shone 7 nice upgrade shone 6 get touch , photo , well camera , letter processor , Sterno speaker water proof . 
  not think offer shone .",4,2016-10-01 00:00:00,37,48,85,59,3,0,,0,,0,39,ADV PROPN ADJ NOUN VERB NOUN SCONJ ADJ NOUN NOUN PUNCT SPACE ADV NOUN NUM ADJ NOUN VERB NUM VERB NOUN PUNCT NOUN PUNCT INTJ NOUN PUNCT NOUN NOUN PUNCT PROPN NOUN NOUN NOUN PUNCT SPACE PART VERB NOUN NOUN PUNCT,39.02,9.76,4.88,7.32,0.44,neu
300,amazing Flipkart.,"get message 7 pm , delivery . 8 pm hand . hour delivery shone 7 .. Flipkart promise . impressed . friend line outside Apple Tore 4 hour , 4 hour later 10 pm get phone . 
 get time home .... 
 flipkart take level 
 phone happy shone . u 6 u upgrade .. need upgrade richard apple fan , care snow value , simply money spare .. 

 happy Flipkart .",5,2016-10-01 00:00:00,35,45,80,121,7,0,,0,,0,70,AUX NOUN NUM NOUN PUNCT NOUN PUNCT NUM NOUN NOUN PUNCT NOUN NOUN VERB NUM PUNCT PROPN NOUN PUNCT ADJ PUNCT NOUN NOUN ADP PROPN PROPN NUM NOUN PUNCT NUM NOUN ADV NUM NOUN VERB NOUN PUNCT SPACE VERB NOUN ADV PUNCT SPACE NOUN VERB NOUN SPACE NOUN ADJ NOUN PUNCT PROPN NUM PROPN PROPN PUNCT VERB PROPN PROPN PROPN PROPN PUNCT NOUN NOUN NOUN PUNCT ADV NOUN ADJ PUNCT SPACE ADJ PROPN PUNCT,31.08,6.76,4.05,5.41,0.44,pos
301,The pretty powerhouse in your hand,"delighted hand day shone 7 launch india . contrary rumor new shone new power house compare old version , 6 . fast new home button Septic Engine give new experience . love texture color black give unified feeling form factor . camera amazing well . lot explore update review . thing like packing accessory cardboard fold , unlike apple . overall basis will not disappoint .",5,2016-10-01 00:00:00,24,29,53,131,8,0,,0,,0,66,ADJ NOUN NOUN VERB NUM NOUN PROPN PUNCT ADJ NOUN ADJ VERB ADJ PROPN PROPN VERB ADJ NOUN PUNCT NUM PUNCT ADJ ADJ NOUN NOUN PROPN PROPN VERB ADJ NOUN PUNCT VERB NOUN NOUN ADJ VERB VERB NOUN NOUN NOUN PUNCT NOUN ADJ ADV PUNCT PROPN VERB NOUN NOUN PUNCT NOUN SCONJ VERB ADJ NOUN VERB PUNCT ADP NOUN PUNCT ADJ NOUN VERB PART VERB PUNCT,30.3,18.18,1.52,18.18,0.45,pos
